rank,Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,sol_balance,directLink,buy_7d,-50% +,0% - -50%,0 - 50%,50% - 199%,200% - 499%,500% - 600%,600% +,ratio_200_plus,ratio_50_plus,failed_criteria
1287,SnUumbLGUhCR2Nkbgfgk9odUApQqicri5JqvrMNPJKb,13.61%,"$16,222.24","$16,222.24",64.83%,?,['bullx'],3.03,https://gmgn.ai/sol/address/SnUumbLGUhCR2Nkbgfgk9odUApQqicri5JqvrMNPJKb,553,1.0,105.0,167.0,22.0,5.0,0.0,0.0,0.009041591320072333,0.048824593128390596,[]
1288,7RSuMr3MHCRipvFT7mmVbc5gjMs5h6Ga2Am6HGAVEW9A,10.61%,"$108,668.75","$256,682.00",43.71%,?,"['photon', 'bullx']",313.78,https://gmgn.ai/sol/address/7RSuMr3MHCRipvFT7mmVbc5gjMs5h6Ga2Am6HGAVEW9A,1001,63.0,104.0,92.0,31.0,8.0,0.0,1.0,0.008991008991008992,0.03996003996003996,[]
1289,5CDthdjNLL5ynsbVhax5Z16vS1DKHjkqK2FtTLeekRQq,9.03%,"$45,644.09","$86,927.28",40.22%,?,"['trojan', 'pepeboost']",16.08,https://gmgn.ai/sol/address/5CDthdjNLL5ynsbVhax5Z16vS1DKHjkqK2FtTLeekRQq,560,28.0,141.0,97.0,27.0,1.0,2.0,2.0,0.008928571428571428,0.05714285714285714,[]
1290,7AK7Gd7cfCZ8e29mj9GDDk2wkSyVcJsXCC4jeYEwuj2M,8.67%,"$36,935.74","$39,179.14",56.18%,?,['photon'],75.46,https://gmgn.ai/sol/address/7AK7Gd7cfCZ8e29mj9GDDk2wkSyVcJsXCC4jeYEwuj2M,896,23.0,122.0,102.0,45.0,7.0,0.0,1.0,0.008928571428571428,0.05915178571428571,[]
1291,93qwoXbiN5LNoBbC6irVGnpnzFvpthY3HatFctachriL,6.81%,"$26,473.35","$52,740.09",38.20%,?,['photon'],0.49,https://gmgn.ai/sol/address/93qwoXbiN5LNoBbC6irVGnpnzFvpthY3HatFctachriL,2132,0.0,0.0,5.0,26.0,8.0,3.0,8.0,0.008911819887429643,0.021106941838649154,[]
1292,H98AoRUVat7mEWnpiMftVrU8WicZVZQP6dUApZ6SMgD9,69.30%,"$9,100.75","$6,658.67",33.33%,?,['pepeboost'],0.01,https://gmgn.ai/sol/address/H98AoRUVat7mEWnpiMftVrU8WicZVZQP6dUApZ6SMgD9,674,24.0,56.0,35.0,18.0,4.0,0.0,2.0,0.008902077151335312,0.03560830860534125,[]
1293,J9vVF9cYFRf37FDSPzCFvtUyrg1kVgCRDhrQZUCoNQXP,27.31%,"$48,241.95","$96,305.73",52.08%,?,['trojan'],25.28,https://gmgn.ai/sol/address/J9vVF9cYFRf37FDSPzCFvtUyrg1kVgCRDhrQZUCoNQXP,1011,17.0,122.0,115.0,37.0,8.0,0.0,1.0,0.008902077151335312,0.04549950544015826,[]
1294,GkgLbGucaAxAuWewegdVBQc5axkSS6qdKjEFXoLZpJPh,19.46%,"$263,173.31","$648,231.30",53.90%,?,['photon'],69.19,https://gmgn.ai/sol/address/GkgLbGucaAxAuWewegdVBQc5axkSS6qdKjEFXoLZpJPh,1124,12.0,127.0,113.0,38.0,7.0,1.0,2.0,0.008896797153024912,0.042704626334519574,[]
1295,5SJhD4NGm3DEf1eMC6nKt4NXHkbdPdmzykFJK53pSwwo,8.14%,"$54,316.65","$62,883.41",42.39%,?,['bullx'],84.15,https://gmgn.ai/sol/address/5SJhD4NGm3DEf1eMC6nKt4NXHkbdPdmzykFJK53pSwwo,1240,53.0,126.0,76.0,34.0,8.0,1.0,2.0,0.008870967741935484,0.036290322580645164,[]
1296,BmoUfhCnWvxt5FsV5988VX11tFEZ13afHQwg5evhG756,13.27%,"$68,038.34","$114,881.25",48.02%,?,['bullx'],31.42,https://gmgn.ai/sol/address/BmoUfhCnWvxt5FsV5988VX11tFEZ13afHQwg5evhG756,1015,0.0,0.0,13.0,28.0,5.0,1.0,3.0,0.008866995073891626,0.03645320197044335,[]
1297,3Noxp1KiUTu5izhMLtKywkDo248URMaSaD8UturyuhJs,15.05%,"$86,704.55","$102,699.60",37.31%,?,['photon'],157.7,https://gmgn.ai/sol/address/3Noxp1KiUTu5izhMLtKywkDo248URMaSaD8UturyuhJs,1244,36.0,153.0,58.0,20.0,10.0,0.0,1.0,0.008842443729903537,0.02491961414790997,[]
1298,EctXhyACnT1dSUnFyLHPYqTpHr5r8xGzPMxEe3QwdP4a,6.69%,"$7,870.23","$7,870.23",39.28%,?,['gmgn'],7.73,https://gmgn.ai/sol/address/EctXhyACnT1dSUnFyLHPYqTpHr5r8xGzPMxEe3QwdP4a,1132,40.0,135.0,86.0,29.0,9.0,0.0,1.0,0.0088339222614841,0.03445229681978799,[]
1299,8vcjJWXhSzq5RrXww1RcyyKEcUejPg7M2vSgLEW2vzpK,7.23%,"$9,284.74","$9,284.74",66.07%,?,['trojan'],2.13,https://gmgn.ai/sol/address/8vcjJWXhSzq5RrXww1RcyyKEcUejPg7M2vSgLEW2vzpK,907,19.0,41.0,101.0,9.0,7.0,1.0,0.0,0.008820286659316428,0.018743109151047408,[]
1300,7awxPFThpN2uLuJf4VeDiVZVL34gxMWqDAqYaABn3Nnh,7.24%,"$6,954.85","$11,938.67",46.67%,?,"['gmgn', 'pepeboost']",0.09,https://gmgn.ai/sol/address/7awxPFThpN2uLuJf4VeDiVZVL34gxMWqDAqYaABn3Nnh,794,50.0,88.0,126.0,26.0,4.0,0.0,3.0,0.008816120906801008,0.041561712846347604,[]
1301,GA2CpEJf5hy1irdHEkoN4863iV3KuKmhqqs9HDSV8kYM,49.54%,"$203,242.97","$227,768.50",32.14%,?,['pepeboost'],80.29,https://gmgn.ai/sol/address/GA2CpEJf5hy1irdHEkoN4863iV3KuKmhqqs9HDSV8kYM,799,26.0,41.0,29.0,20.0,7.0,0.0,0.0,0.008760951188986232,0.03379224030037547,[]
1302,8BPqY9qToc6GJTg6WVJepoNN8m9QtvPtj7JK9eQFPKdX,22.35%,"$26,156.96","$107,944.54",33.93%,?,[],2.66,https://gmgn.ai/sol/address/8BPqY9qToc6GJTg6WVJepoNN8m9QtvPtj7JK9eQFPKdX,573,44.0,128.0,75.0,13.0,5.0,0.0,0.0,0.008726003490401396,0.031413612565445025,[]
1303,HDNYNbBcErVzXnsESwrF9QvXweTqkUv5eDX33j6SFMwq,9.33%,"$104,629.04","$135,100.48",34.07%,?,"['photon', 'bullx']",163.6,https://gmgn.ai/sol/address/HDNYNbBcErVzXnsESwrF9QvXweTqkUv5eDX33j6SFMwq,2643,0.0,0.0,5.0,22.0,16.0,0.0,7.0,0.00870223231176693,0.0170261066969353,[]
1304,AsuRTgi8TxdDL1wPmk7TVhjaNDfAYQHr1KtvQYAfKfz1,14.25%,"$124,376.51","$180,374.39",52.94%,?,['photon'],23.58,https://gmgn.ai/sol/address/AsuRTgi8TxdDL1wPmk7TVhjaNDfAYQHr1KtvQYAfKfz1,1269,30.0,116.0,86.0,50.0,9.0,0.0,2.0,0.008668242710795903,0.04806934594168637,[]
1305,9fMWi3Tnhd4ZyvsXs8B2t4v7m7ot69rNsd2iH4zunEwR,7.26%,"$14,476.65","$35,952.65",38.16%,?,['photon'],90.98,https://gmgn.ai/sol/address/9fMWi3Tnhd4ZyvsXs8B2t4v7m7ot69rNsd2iH4zunEwR,694,68.0,119.0,72.0,34.0,6.0,0.0,0.0,0.008645533141210375,0.05763688760806916,[]
1306,D4qhfCfeSfgzeTKtSF5hMZ1YHyu5JsBNcnaL8kX2zARR,12.12%,"$8,488.04","$9,871.95",33.33%,?,['trojan'],3.62,https://gmgn.ai/sol/address/D4qhfCfeSfgzeTKtSF5hMZ1YHyu5JsBNcnaL8kX2zARR,929,62.0,136.0,64.0,30.0,6.0,1.0,1.0,0.008611410118406888,0.04090419806243272,[]
1307,3kgmqnNJ9ediKwhjrAdjczYuPyNoBz9wT41yYk8YTvti,25.84%,"$92,672.85","$169,780.61",48.48%,?,['trojan'],163.15,https://gmgn.ai/sol/address/3kgmqnNJ9ediKwhjrAdjczYuPyNoBz9wT41yYk8YTvti,1294,24.0,146.0,86.0,33.0,9.0,0.0,2.0,0.008500772797527048,0.03400309119010819,[]
1308,4FYxRL1QxfqchF822ty9u18BwCZoejwhYenfGMvtit4p,18.48%,"$28,140.61","$56,648.59",59.18%,?,[],12.74,https://gmgn.ai/sol/address/4FYxRL1QxfqchF822ty9u18BwCZoejwhYenfGMvtit4p,1073,12.0,110.0,134.0,35.0,9.0,0.0,0.0,0.008387698042870456,0.04100652376514446,[]
1309,3iTfp8fehCNFXjpgtkPu7aM84j2Z1NLzSFL6KKGCi5of,23.57%,"$11,980.44","$11,980.44",70.00%,?,['photon'],33.06,https://gmgn.ai/sol/address/3iTfp8fehCNFXjpgtkPu7aM84j2Z1NLzSFL6KKGCi5of,835,7.0,108.0,126.0,37.0,6.0,1.0,0.0,0.008383233532934131,0.05269461077844311,[]
1310,FtdMbXwLyXY35s8gnoAVojEg7G5RFnBzZmkoFxDHnfnj,15.88%,"$46,807.34","$81,445.50",81.63%,?,['photon'],290.6,https://gmgn.ai/sol/address/FtdMbXwLyXY35s8gnoAVojEg7G5RFnBzZmkoFxDHnfnj,722,9.0,44.0,223.0,18.0,5.0,0.0,1.0,0.008310249307479225,0.0332409972299169,[]
1311,EoJb62VKuC3uVYx7Kc1a4JojVh3Xd8kSYP9woFVacVJz,6.94%,"$31,073.11","$33,449.60",57.45%,?,['photon'],95.35,https://gmgn.ai/sol/address/EoJb62VKuC3uVYx7Kc1a4JojVh3Xd8kSYP9woFVacVJz,602,14.0,127.0,130.0,22.0,2.0,2.0,1.0,0.008305647840531562,0.044850498338870434,[]
1312,Ef3kLVspwzXP6ASPaBVeaySS1qa4og6y5EuXYv83UCPP,8.49%,"$8,297.61","$8,297.61",44.13%,?,[],3.32,https://gmgn.ai/sol/address/Ef3kLVspwzXP6ASPaBVeaySS1qa4og6y5EuXYv83UCPP,1085,16.0,146.0,98.0,31.0,9.0,0.0,0.0,0.008294930875576038,0.03686635944700461,[]
1313,7s5n36J9R5KCWufr18qD5R61kxVt6D3VhM42b2CmBX91,23.06%,"$89,703.92","$208,822.22",33.33%,?,['photon'],10.53,https://gmgn.ai/sol/address/7s5n36J9R5KCWufr18qD5R61kxVt6D3VhM42b2CmBX91,604,53.0,50.0,38.0,12.0,4.0,0.0,1.0,0.008278145695364239,0.028145695364238412,[]
1314,RAY5F4gdgzJHti3SqY8DUSbox5LPoMaVJuDS5W8CPWP,27.26%,"$167,190.84","$205,803.14",57.14%,?,['photon'],53.21,https://gmgn.ai/sol/address/RAY5F4gdgzJHti3SqY8DUSbox5LPoMaVJuDS5W8CPWP,849,8.0,118.0,106.0,35.0,4.0,1.0,2.0,0.008244994110718492,0.04946996466431095,[]
