Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,sol_balance,directLink,buy_7d,-50% +,0% - -50%,0 - 50%,50% - 199%,200% - 499%,500% - 600%,600% +
HoGsNfrywqF8119RnupaDkZ7wGRvFSj5c2zFYNApYsqu,7.33%,"$16,026.98","$16,026.98",45.56%,?,['bullx'],17.50,https://gmgn.ai/sol/address/HoGsNfrywqF8119RnupaDkZ7wGRvFSj5c2zFYNApYsqu,958,31,129,109,28,2,1,0
GqBopg7XjfC3Se3p4xZQAhcPz3nEmQuk6yQU3nh62t65,2.49%,"$9,048.66","$9,048.66",?,?,[],6.43,https://gmgn.ai/sol/address/GqBopg7XjfC3Se3p4xZQAhcPz3nEmQuk6yQU3nh62t65,984,0,0,1,0,0,0,0
6uw63EB8yWT99Naqh8L1Lmwi1TwFua8Sozk8dWDYU9rd,20.95%,"$8,353.84","$63,740.98",20.06%,?,['trojan'],17.22,https://gmgn.ai/sol/address/6uw63EB8yWT99Naqh8L1Lmwi1TwFua8Sozk8dWDYU9rd,419,0,0,4,6,23,7,9
Afmg6Gqdb9m1H6GVhWzHwTo71XUYSEWkQLCbT7YZfwmc,9.43%,"$13,981.77","$13,981.77",43.40%,?,['bullx'],55.58,https://gmgn.ai/sol/address/Afmg6Gqdb9m1H6GVhWzHwTo71XUYSEWkQLCbT7YZfwmc,788,106,57,63,24,4,5,6
DaB8jXhdQXNczy5qBT7R4Gcfr3qdX7a6pcujvoNUMD1b,6.78%,"$5,419.25","$5,419.25",53.23%,?,[],12.17,https://gmgn.ai/sol/address/DaB8jXhdQXNczy5qBT7R4Gcfr3qdX7a6pcujvoNUMD1b,67,2,10,13,5,0,0,0
696969Y6orZEjp4gZtwcCZS7TNVuhMVE6G5mFvdJ4mYq,6.11%,"$161,154.17","$390,995.55",50.50%,?,[],24.38,https://gmgn.ai/sol/address/696969Y6orZEjp4gZtwcCZS7TNVuhMVE6G5mFvdJ4mYq,23363,0,0,0,0,25,6,19
pndujwi7BeaRRenYHSShyNQXAdBNEzKDR5jgzbheJFT,42.25%,"$51,860.18","$417,309.26",38.93%,?,['photon'],865.87,https://gmgn.ai/sol/address/pndujwi7BeaRRenYHSShyNQXAdBNEzKDR5jgzbheJFT,149,0,0,0,2,31,1,16
97vY5HrZSSPwimMLBHTGM7KtZ4getQTTZW8WYSe6nGL6,19.34%,"$8,141.38","$484,984.22",29.60%,?,[],30.65,https://gmgn.ai/sol/address/97vY5HrZSSPwimMLBHTGM7KtZ4getQTTZW8WYSe6nGL6,1178,13,201,58,22,6,0,0
6WWGisHx84MLXct28S5LMXsWjpdwbKL8GFYXrYKLTmGN,6.95%,"$15,411.53","$32,442.35",57.72%,?,[],42.35,https://gmgn.ai/sol/address/6WWGisHx84MLXct28S5LMXsWjpdwbKL8GFYXrYKLTmGN,662,18,104,163,15,0,0,0
AvumG2FCWce8M2BKhYxo9LddiKvRVH6zZXMWXSAyWhHz,2.66%,$525.56,$525.56,56.41%,?,['bullx'],13.05,https://gmgn.ai/sol/address/AvumG2FCWce8M2BKhYxo9LddiKvRVH6zZXMWXSAyWhHz,43,2,15,21,1,0,0,0
2k8vHjjwkRNXhqD1GLjRbNLJXtpom74GxY9EjKuYnLwE,4.26%,"$-2,686.09","$-3,524.99",36.62%,?,['gmgn'],1.61,https://gmgn.ai/sol/address/2k8vHjjwkRNXhqD1GLjRbNLJXtpom74GxY9EjKuYnLwE,566,41,152,73,27,5,0,2
4QWGU7rLkgV9sqcWynuwAc9txdW1gfs2KRtXwwZXJzbp,33.00%,"$-3,435.97","$-4,295.21",39.02%,?,"['photon', 'bluechip_owner']",24.12,https://gmgn.ai/sol/address/4QWGU7rLkgV9sqcWynuwAc9txdW1gfs2KRtXwwZXJzbp,46,20,18,15,11,2,0,0
